Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,
,,,,,,,17,4,Bluff,Monk,,,,17,4,D2,Piranha,Nomination,Lyra,V3,,,,,,,,,,,17,4,2,Lycan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,D2,Weaver,Nomination,Jordan,V4,,,,,,,,,,,17,4,2,Tanfana,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,D2,Weaver,Executed,,,,,,,,,,,,,17,4,2,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,N3,Lyra,Demon Kill,Stephen,,,,,,,,,,,,17,4,2,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,N3,Jordan,Empath Number,0,,,,,,,,,,,,17,4,3,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,N4,Lyra,Demon Kill,Jordan,,,,,,,,,,,,17,4,3,Kani,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,D4,Piranha,Nomination,Lyra,V5,,,,,,,,,,,17,4,3,Piranha,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,D4,Lyra,Executed,,,,,,,,,,,,,17,4,3,Lycan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,4,D4,,Game End,,Demon Executed,,,,,,,,,,,17,4,3,Tanfana,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,3,Stephen,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,3,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,3,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Kani,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Lycan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Tanfana,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Stephen,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,4,Jordan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Kani,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Piranha,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Lycan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Tanfana,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Stephen,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Weaver,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,5,Lyra,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,
