Date,Session,Game Number,Script,Result,PlayerCount,,Session,Game Number,Player,Role,Notes,Alignment Switch,,Session,Game Number,Phase,Player,Action,Target,Note,,Session,Game Number,Vote Number,Player,Target,Total Votes,On the Block,Executed,,Session,Game Number,Vote Number,Player,Voted,Dead,Dead Vote Used,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,N2,Lycan,Empath Number,1,,,,,,,,,,,,19,3,2,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,N2,Lyphoon,Fortune Teller Information,Piranha|Jordan|Yes,,,,,,,,,,,,19,3,2,Tanfana,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,Lycan,Nomination,Tanfana,V4,,,,,,,,,,,19,3,2,Weaver,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,Piranha,Nomination,Shaun,V5,,,,,,,,,,,19,3,3,Weaver,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,Shaun,Nomination,Lycan,V6,,,,,,,,,,,19,3,3,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,Tanfana,Nomination,Jordan,V7,,,,,,,,,,,19,3,3,Jordan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,Tanfana,Executed,,,,,,,,,,,,,19,3,3,Shaun,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,19,3,D2,,Game End,,Demon Executed,,,,,,,,,,,19,3,3,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,3,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,3,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Weaver,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Piranha,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Jordan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Shaun,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Lyphoon,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Lycan,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,4,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Weaver,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Piranha,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Jordan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,5,Shaun,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Weaver,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Jordan,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Shaun,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,6,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Shaun,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Lyphoon,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Lycan,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Tanfana,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Weaver,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Piranha,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,3,7,Jordan,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
